fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,prev_pred,prev_sd,final_pred,final_sd
00.csv,11144,DESKTOP-,1,10.0,100.0,10.0,100.0,-0.0014195085305322272,5.609759900199999,0.1,1,-Inf,0.0,-0.0013228621760580663,9.903436115313442e-6
00.csv,11144,DESKTOP-,2,10.0,100.0,10.0,0.0001,-0.0013565291339796297,5.582587759800001,0.1,1,-Inf,0.0,-0.0012623281873202262,9.903436115313442e-6
00.csv,11144,DESKTOP-,3,10.0,100.0,0.0001,100.0,-0.0015726113163327283,5.6144798204,0.1,1,-Inf,0.0,-0.0014700194121470642,9.903436115313442e-6
00.csv,11144,DESKTOP-,4,10.0,100.0,0.0001,0.0001,-0.0016081676039745945,5.6084106806000005,0.1,1,-Inf,0.0,-0.001504194750008678,9.903436115313442e-6
00.csv,11144,DESKTOP-,1,10.0,0.0001,10.0,100.0,-0.001261654985729522,5.2589072804,0.1,2,-Inf,0.0,-0.0011711373710870522,9.903436115313442e-6
00.csv,11144,DESKTOP-,2,10.0,0.0001,10.0,0.0001,-0.0012839620768785235,5.548129879599999,0.1,2,-Inf,0.0,-0.0011925844673258178,9.903436115313442e-6
00.csv,11144,DESKTOP-,3,10.0,0.0001,0.0001,100.0,-0.0014084410868502853,5.5506932201999994,0.1,2,-Inf,0.0,-0.0013122236915296777,9.903436115313442e-6
00.csv,11144,DESKTOP-,4,10.0,0.0001,0.0001,0.0001,-0.001393788373396402,5.294350520399999,0.1,2,-Inf,0.0,-0.0012981771842819306,9.903436115297384e-6
00.csv,11144,DESKTOP-,1,0.0001,100.0,10.0,100.0,-0.0014985578795825981,5.79810734,0.1,3,-Inf,0.0,-0.0013988415606051578,9.903436115313442e-6
00.csv,11144,DESKTOP-,2,0.0001,100.0,10.0,0.0001,-0.001369229892411825,5.6049042596,0.1,3,-Inf,0.0,-0.001274535281012486,9.903436115313442e-6
00.csv,11144,DESKTOP-,3,0.0001,100.0,0.0001,100.0,-0.001426317567688425,5.80219464,0.1,3,-Inf,0.0,-0.0013294068100023694,9.90343611531342e-6
00.csv,11144,DESKTOP-,4,0.0001,100.0,0.0001,0.0001,-0.001338365955032169,5.7927263797999995,0.1,3,-Inf,0.0,-0.0012448703067492856,9.90343611531342e-6
00.csv,11144,DESKTOP-,1,0.0001,0.0001,10.0,100.0,-0.0011283170855453711,5.5589583992,0.1,4,-Inf,0.0,-0.0010429772466214841,9.903436115313442e-6
00.csv,11144,DESKTOP-,2,0.0001,0.0001,10.0,0.0001,-0.004815527154336607,5.573539439799999,0.1,4,-Inf,0.0,-0.004583340800836066,9.903436108085638e-6
00.csv,11144,DESKTOP-,3,0.0001,0.0001,0.0001,100.0,-0.0013356010043643863,5.55937472,0.1,4,-Inf,0.0,-0.0012422119756900362,9.90343611531342e-6
00.csv,11144,DESKTOP-,4,0.0001,0.0001,0.0001,0.0001,-0.0495083610068539,5.57389098,0.1,4,-Inf,0.0,-0.01616024631864648,5.410595918728515e-6
00.csv,11144,DESKTOP-,1,0.006431017220637031,0.0001085918583969836,0.00015260322673323908,0.004814936137272307,-0.02553344419835544,5.3406704402,0.1,5,-0.005362981002029147,5.000264249432724e-5,-0.01615798887119462,5.410953994952159e-6
00.csv,11144,DESKTOP-,2,0.003312893099615662,44.05451418751943,0.00022114897428690482,0.00011263950599167448,0.05413175171993466,5.248007459999999,0.1,5,-0.0055923534179411725,4.9997494315702184e-5,0.052071283765198144,9.903436116067835e-6
00.csv,11144,DESKTOP-,3,0.0034002618711808114,0.0005560102441049489,0.00021439741085033359,0.00023248843860825815,-0.04091869307915035,5.2471975002,0.1,5,-0.0051730496062725876,5.0005877716131424e-5,-0.01614669730050749,5.4095974205363466e-6
00.csv,11144,DESKTOP-,4,0.00035596942368548446,0.0009775670705919949,0.4093582677731072,0.00011684484968624557,0.10743736055635496,5.3439057196,0.1,5,-0.005721877990817413,4.999398715469729e-5,0.03950968481512058,7.393005185073836e-6
