fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
22.csv,115964,c479-052,1,0.001,0.001,0.001,0.001,-0.11374187483667533,300.2088056728,0.1,1,1,-Inf,0.0,-0.11369317409431563,9.999504886680665e-6
22.csv,115964,c479-052,2,0.001,0.001,0.001,20.0,-0.11293834346585963,300.20027769499995,0.1,1,7,-Inf,0.0,-0.11289771678931071,9.999482450447423e-6
22.csv,115964,c479-052,3,0.001,0.001,5.0,0.001,-0.11085844143823771,300.1912928148,0.4244242840395064,1,43,-Inf,0.0,-0.11083855307042256,9.999434799610433e-6
22.csv,115964,c479-052,4,0.001,0.001,5.0,20.0,-0.11065132420923082,300.1911132588,0.4481787439377859,1,49,-Inf,0.0,-0.11063359262417904,9.999498629840624e-6
22.csv,115964,c479-052,1,0.001,20.0,0.001,0.001,-0.10912709323714695,282.192247087,0.4070866375876191,2,295,-0.1106652901395783,1.0049383040372859e-5,-0.10912467666424018,9.999463791004666e-6
22.csv,115964,c479-052,2,0.001,20.0,0.001,20.0,-0.10890824100508383,109.909693285,1.4872942927932244,2,301,-0.11072994669678798,3.1749202121477626e-5,-0.10891061703656954,9.986021683752012e-6
22.csv,115964,c479-052,3,0.001,20.0,5.0,0.001,-0.10891837984984339,300.1427561068,5.0,2,337,-0.11073147149816447,3.174884197184563e-5,-0.10891956164063955,9.99079301671313e-6
22.csv,115964,c479-052,4,0.001,20.0,5.0,20.0,-0.10889682679376061,300.12923827940006,5.0,2,343,-0.11079303245431955,4.2800853255159504e-5,-0.10889774851909546,9.983554083467732e-6
22.csv,115964,c479-052,1,5.0,0.001,0.001,0.001,-0.10903424783636355,300.0829779158,0.42249849695720576,3,2059,-0.10891289563478478,1.004938304022371e-5,-0.10903280273592357,9.999434097886339e-6
22.csv,115964,c479-052,2,5.0,0.001,0.001,20.0,-0.10878267012624973,300.1258992492,0.3708842749289828,3,2065,-0.10892419699535592,1.004938304022371e-5,-0.10878297812861934,9.880774982655981e-6
