fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,gen,paramid,final_predicted,final_predicted_sd
split_12-14.csv,12428,CNS-S-GD,1,1.5,5.0,0.5,10.0,-0.13728510788181075,60.3820272365,1,1932,-0.13730964032825327,0.009926616455772055
split_12-14.csv,12428,CNS-S-GD,1,1.0,1.0,1.5,5.0,-0.13914737935812957,60.31257628175,1,1510,-0.13915673845831683,0.009762445590761181
split_12-14.csv,12428,CNS-S-GD,1,0.75,0.5,1.0,2.5,-0.13950000830664044,60.295393919,1,1110,-0.13949609794124662,0.00984940216632147
split_12-14.csv,12428,CNS-S-GD,1,1.5,0.5,1.0e-6,0.5,-0.1387154759721794,60.2173011535,1,1766,-0.13872848723212708,0.009922002711639483
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,1.0e-6,5.0,-0.13723167881489157,60.328912822499994,1,2210,-0.13722844421942956,0.009919172206042784
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,1.0e-6,0.5,-0.13697581913473786,60.28316322225,1,1962,-0.13699739823313348,0.009924149318290911
split_12-14.csv,12428,CNS-S-GD,1,2.5,2.5,0.5,0.5,-0.13728449746560137,60.314225860250005,1,2221,-0.13730116809750556,0.009916090446568817
split_12-14.csv,12428,CNS-S-GD,1,0.75,7.5,0.5,10.0,-0.13840821494601704,60.32160682525,1,1295,-0.13843162942579337,0.00987909003029638
split_12-14.csv,12428,CNS-S-GD,1,1.0,0.5,1.0,5.0,-0.13902985907460053,60.3427511825,1,1454,-0.13895691197157187,0.009552679716234129
split_12-14.csv,12428,CNS-S-GD,1,1.5,0.5,1.0,5.0,-0.13728994697846514,60.30972279575,1,1797,-0.1373689612170466,0.009552369168093723
split_12-14.csv,12428,CNS-S-GD,1,1.5,7.5,2.5,5.0,-0.1390775535361833,60.31406127825,2,2007,-0.13907708106503242,0.009913482649151352
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,2.5,5.0,-0.13891573243949762,60.30126562325,2,2301,-0.13891348582921764,0.009948800760292458
split_12-14.csv,12428,CNS-S-GD,1,0.25,5.0,1.0,2.5,-0.1390019841986656,60.352532149,2,571,-0.13900893886311685,0.00992479777699048
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,0.75,5.0,-0.13982757836124818,60.33272443125,2,173,-0.13981600600649682,0.009937767055220962
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,0.75,1.0,-0.13948524931757864,60.29088138925,2,1886,-0.13944704364658772,0.00987491838754401
split_12-14.csv,12428,CNS-S-GD,1,1.5,10.0,1.0e-6,2.5,-0.13681782686356495,60.277492006,2,2013,-0.13683854963593328,0.009928852549558668
split_12-14.csv,12428,CNS-S-GD,1,0.25,1.0e-6,1.5,7.5,-0.13946370736998234,60.25908883475,2,384,-0.13948674215374235,0.009898405703712409
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,2.5,1.0e-6,7.5,-0.1398982464754701,60.364786507,2,153,-0.13988164843276044,0.00991581099648835
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,0.5,0.25,10.0,-0.14029418185019146,60.295367627750004,2,63,-0.14027103424701245,0.009943520220612798
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,2.5,2.5,-0.13925572745651507,60.32830925374999,2,1908,-0.13925180023144773,0.009945743562856353
split_12-14.csv,12428,CNS-S-GD,1,0.25,7.5,1.5,5.0,-0.1387157548430495,60.33546539125,3,628,-0.13871693064222498,0.00993979861447048
split_12-14.csv,12428,CNS-S-GD,1,1.0,2.5,1.0e-6,2.5,-0.13941650845159628,60.22298408825,3,1523,-0.1394111514978531,0.009939591155988307
split_12-14.csv,12428,CNS-S-GD,1,2.5,5.0,1.5,2.5,-0.13881267490510188,60.250154817,3,2293,-0.1388124646754605,0.009933393303088222
split_12-14.csv,12428,CNS-S-GD,1,1.0,2.5,2.5,10.0,-0.13935777371659636,60.27462665149999,3,1568,-0.13934456011509996,0.009903423392671248
split_12-14.csv,12428,CNS-S-GD,1,1.5,1.0e-6,2.5,2.5,-0.13720685941908786,60.2422743215,3,1761,-0.13723320195127098,0.00991698504934606
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,1.5,1.0,-0.13946321360850117,60.34893853025,3,2390,-0.13944316729757533,0.009923289102337389
split_12-14.csv,12428,CNS-S-GD,1,0.5,7.5,1.0,7.5,-0.13857394048805627,60.279613698,3,965,-0.13858559992220384,0.009912154399699363
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,1.0e-6,0.5,1.0,-0.14629733124307162,60.35795465125,3,17,-0.14621468236355883,0.009939225822367032
split_12-14.csv,12428,CNS-S-GD,1,2.5,10.0,2.5,1.0e-6,-0.13909742379325515,60.342670055250004,3,2395,-0.13909860889063602,0.009941733907497618
split_12-14.csv,12428,CNS-S-GD,1,2.5,1.0,2.5,1.0e-6,-0.13945308581699256,60.27012689075,3,2199,-0.13943941794596687,0.00994470241235812
split_12-14.csv,12428,CNS-S-GD,1,1.0e-6,10.0,0.5,1.0e-6,-0.13962578840977977,60.3049650075,4,309,-0.13961167433565638,0.009925536809970539
split_12-14.csv,12428,CNS-S-GD,1,1.5,2.5,1.5,7.5,-0.13912208852572513,60.29238381275,4,1903,-0.13910134873232544,0.009684011658567826
