fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,gen,paramid,prev_pred,final_pred,final_pred_sd
split_24-26.csv,4752,CNS-S-GD,1,1.5,10.0,0.5,2.5,-0.14090821117690844,180.3946862525,1,2027,-Inf,-0.14105484355839015,0.007060798053812982
split_24-26.csv,4752,CNS-S-GD,1,2.5,5.0,1.0,7.5,-0.141056055851725,170.05335689325,1,2288,-Inf,-0.14110991814804807,0.006689774540938527
split_24-26.csv,4752,CNS-S-GD,1,1.0,1.0e-6,0.25,2.5,-0.14110276959929086,180.33424931500002,1,1383,-Inf,-0.1411512383092893,0.006757188275685656
split_24-26.csv,4752,CNS-S-GD,1,0.25,7.5,0.5,2.5,-0.14114943156752494,180.21884046025002,1,606,-Inf,-0.14116970969695763,0.007069768483608289
split_24-26.csv,4752,CNS-S-GD,1,0.25,7.5,1.0e-6,7.5,-0.14121104151165467,180.291807737,2,594,-0.1410541192584822,-0.14119936028123406,0.007068651507036644
split_24-26.csv,4752,CNS-S-GD,1,1.5,0.5,0.75,0.5,-0.1410204267310204,178.15531717275002,2,1787,-0.14105637974604587,-0.14111025635057378,0.006664061748912864
split_24-26.csv,4752,CNS-S-GD,1,1.5,10.0,0.5,5.0,-0.14105665614694804,179.91902197399997,2,2028,-0.14105093310744607,-0.141119779611041,0.007068073226982385
split_24-26.csv,4752,CNS-S-GD,1,1.5,2.5,1.0e-6,10.0,-0.1410977650388885,180.29950314325004,2,1869,-0.14105411773730686,-0.14112302813138228,0.006715955281497108
split_24-26.csv,4752,CNS-S-GD,1,1.5,2.5,0.25,1.0e-6,-0.14106037535178836,180.27780389375,3,1870,-0.14107235506370314,-0.1411337480753239,0.007056248311438671
split_24-26.csv,4752,CNS-S-GD,1,2.5,2.5,1.5,2.5,-0.14075416428514698,169.94063604025,3,2244,-0.14107515705218296,-0.14095393557890232,0.006888734895392898
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,1.0,1.5,7.5,-0.14166912433012202,180.30326652649998,3,139,-0.14107531148295663,-0.14158107610333137,0.006316986747170079
split_24-26.csv,4752,CNS-S-GD,1,1.5,5.0,1.0e-6,5.0,-0.14113121416096,180.2996026735,3,1916,-0.14107522753057683,-0.14115755385829448,0.0070664131286023784
split_24-26.csv,4752,CNS-S-GD,1,1.5,1.0e-6,1.5,7.5,-0.14106106638284685,180.25716785625,4,1756,-0.1411573276446553,-0.14114923313682362,0.006732977484727026
split_24-26.csv,4752,CNS-S-GD,1,1.0,1.0e-6,1.0e-6,1.0,-0.14121711980749,180.34676222800002,4,1375,-0.1410815077859396,-0.14124640769520924,0.00661030505761184
split_24-26.csv,4752,CNS-S-GD,1,0.5,10.0,2.5,1.0e-6,-0.14106616665601046,180.22521875700002,4,1023,-0.14110109489222558,-0.14112642819221852,0.007057900073322184
split_24-26.csv,4752,CNS-S-GD,1,2.5,10.0,1.0e-6,1.0e-6,-0.1414110922474025,180.2613779635,4,2353,-0.14109917212371834,-0.14129983497041007,0.007068669436724082
split_24-26.csv,4752,CNS-S-GD,1,1.5,5.0,2.5,1.0e-6,-0.1410547226837314,115.47444895375,5,1954,-0.14112306640506966,-0.1411028502510289,0.006875009124791154
split_24-26.csv,4752,CNS-S-GD,1,1.0,5.0,1.0e-6,2.5,-0.14116070884748633,180.384124966,5,1572,-0.14112297297776175,-0.1411686400983658,0.006991075992382732
split_24-26.csv,4752,CNS-S-GD,1,1.0,1.0e-6,1.0e-6,10.0,-0.14108239467167388,180.31472696925,5,1379,-0.14112351612713622,-0.14113391614488835,0.007035562621124553
split_24-26.csv,4752,CNS-S-GD,1,2.5,7.5,2.5,1.0,-0.1410539017591295,103.26797432575,5,2348,-0.14112328089183465,-0.141120096731607,0.007069241312195361
split_24-26.csv,4752,CNS-S-GD,1,1.5,5.0,2.5,2.5,-0.14105390018497868,152.7249710945,6,1957,-0.14111261937043798,-0.14112402912333719,0.006968746505739117
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,5.0,1.0e-6,1.0e-6,-0.14189128990799166,153.08162193274998,6,197,-0.14111606801336676,-0.1415225260838969,0.006947168659049084
split_24-26.csv,4752,CNS-S-GD,1,1.5,2.5,1.0e-6,5.0,-0.14099984775737393,180.3648665825,6,1867,-0.14111536185688842,-0.14110255075979938,0.006750769902481508
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,7.5,2.5,5.0,-0.14119802135359247,180.33337667575,6,292,-0.1411163519110443,-0.14119472375816905,0.0070710207437627
split_24-26.csv,4752,CNS-S-GD,1,2.5,2.5,0.25,10.0,-0.1410583342855102,180.38104417475,7,2219,-0.14113055147259707,-0.14110615590197056,0.006643994026186372
split_24-26.csv,4752,CNS-S-GD,1,0.25,5.0,1.5,1.0e-6,-0.14112846049048747,180.39803566399996,7,575,-0.14124842147652786,-0.14120701215495407,0.006903052029131108
split_24-26.csv,4752,CNS-S-GD,1,2.5,1.0,0.25,10.0,-0.14104928305466766,180.25381514,7,2170,-0.14113394446418415,-0.14110453204560106,0.00693131652056785
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,2.5,1.5,2.5,-0.14144220666410953,180.32846039000003,7,186,-0.14113477070656288,-0.14131355210565646,0.006879078189069649
split_24-26.csv,4752,CNS-S-GD,1,0.75,10.0,2.5,10.0,-0.14106013376305113,158.9070324045,8,1372,-0.1411480649360878,-0.14112560818707154,0.0070702210545990005
split_24-26.csv,4752,CNS-S-GD,1,2.5,5.0,0.75,1.0,-0.14105606207987476,179.57718301775003,8,2278,-0.1411454842853495,-0.14109867963225636,0.006668918597507586
split_24-26.csv,4752,CNS-S-GD,1,2.5,1.0,1.5,7.5,-0.1410560586629956,171.60413658225002,8,2197,-0.14113289833394707,-0.14108894785173023,0.006597099113341892
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,0.5,1.0,7.5,-0.14198123977919302,180.29184987825,8,83,-0.14133828330419423,-0.14159282900566877,0.006124581788713152
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,0.5,2.5,10.0,-0.14175119201548825,180.2847859095,9,98,-0.14117177247124452,-0.14147091895950092,0.007064074576181759
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,5.0,2.5,2.5,-0.1412523686701101,180.2384658675,9,242,-0.14115025633281464,-0.14121108699704787,0.006972989116629538
split_24-26.csv,4752,CNS-S-GD,1,2.5,7.5,2.5,7.5,-0.1410538954793582,141.83472931575002,9,2351,-0.14116490267489762,-0.1411223552477114,0.00707085938568368
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,2.5,1.0,7.5,-0.14147315499366483,180.2329958155,9,181,-0.14124699338423916,-0.14137043113511077,0.006991767244025105
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,5.0,1.5,10.0,-0.14129306887254972,180.25856000775,10,238,-0.14118963134122844,-0.14122988969054448,0.006972188391371579
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,7.5,1.5,10.0,-0.1412346101503664,180.27924840225,10,287,-0.1411884817703513,-0.14121336561568965,0.007068783576299729
split_24-26.csv,4752,CNS-S-GD,1,1.5,5.0,1.5,10.0,-0.1410554678015615,128.07301527725,10,1953,-0.14118720351135935,-0.14113164285853896,0.006973397748235863
split_24-26.csv,4752,CNS-S-GD,1,1.5,2.5,2.5,2.5,-0.1410539058756644,134.96159117675,10,1908,-0.14113165472315436,-0.1410960933757947,0.006898470494686287
split_24-26.csv,4752,CNS-S-GD,1,2.5,1.0,0.25,2.5,-0.14105877617984466,180.326663205,11,2167,-0.1411427462381528,-0.14107996354829883,0.006725961554132238
split_24-26.csv,4752,CNS-S-GD,1,2.5,0.5,2.5,7.5,-0.1410539693052221,158.5997700055,11,2155,-0.14113044285755635,-0.14110005344078486,0.0067331275911543505
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,0.5,0.5,5.0,-0.14210462746002736,180.313787851,11,68,-0.14119858234092098,-0.14164680529614712,0.00699805732385479
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,2.5,2.5,1.0,-0.14137725100140738,180.2758177885,11,192,-0.14120500211775655,-0.14129478867532513,0.007028590640223943
split_24-26.csv,4752,CNS-S-GD,1,2.5,2.5,0.5,5.0,-0.1410592194679968,180.31809087850002,12,2224,-0.1411417691477597,-0.14109582942956936,0.006790882878248002
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,5.0,2.5,7.5,-0.1412486025464494,180.24989581225,12,244,-0.14120695728992677,-0.14121956300771157,0.007066954720857868
split_24-26.csv,4752,CNS-S-GD,1,1.0,2.5,2.5,10.0,-0.1410570370803509,139.60275772650002,12,1568,-0.1412252010224964,-0.14113461428265814,0.007062810572916657
split_24-26.csv,4752,CNS-S-GD,1,1.5,1.0e-6,1.0e-6,5.0,-0.1410963540583374,180.27644051200002,12,1720,-0.14131165000019824,-0.14119688817792786,0.007009557930495395
split_24-26.csv,4752,CNS-S-GD,1,2.5,2.5,1.5,7.5,-0.14104447985084007,172.07045294575,13,2246,-0.1411767579037172,-0.1411098198383208,0.006969910728315013
split_24-26.csv,4752,CNS-S-GD,1,2.5,1.0e-6,1.5,2.5,-0.14100163678466607,180.3106654445,13,2097,-0.1411643646847721,-0.14106006640165364,0.006859988616791804
split_24-26.csv,4752,CNS-S-GD,1,2.5,5.0,1.0e-6,7.5,-0.1410966107468407,180.229695005,13,2260,-0.14115441353382108,-0.14112181744517666,0.006673450770506762
split_24-26.csv,4752,CNS-S-GD,1,1.0,10.0,0.25,7.5,-0.14107236595634273,180.34170892775,13,1679,-0.14119574615230732,-0.14112423590596576,0.006959360324432875
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,1.0,1.0e-6,1.0,-0.1420608238449543,85.96796000875,14,101,-0.1411842218888466,-0.14160633793249544,0.006925302494890746
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,2.5,1.0,5.0,-0.14148262135155704,180.28862478550002,14,180,-0.14123486678776548,-0.14135834409564588,0.007020709374166234
split_24-26.csv,4752,CNS-S-GD,1,1.0e-6,10.0,1.0e-6,1.0,-0.14142215670999156,127.36700893125,14,297,-0.14117570394927137,-0.14130073229248372,0.00706222102830781
split_24-26.csv,4752,CNS-S-GD,1,2.5,10.0,2.5,0.5,-0.14105388258953108,155.49641667275,14,2396,-0.14118036331203326,-0.14111938896961634,0.007055662495311223
split_24-26.csv,4752,CNS-S-GD,1,1.5,5.0,1.0e-6,1.0,-0.1411226045950582,180.29236142775,15,1914,-0.14122723060830997,-0.1411738295695589,0.0067558504271883184
split_24-26.csv,4752,CNS-S-GD,1,2.5,5.0,1.5,1.0e-6,-0.1410560632688469,169.29931903,15,2290,-0.14114806975547467,-0.14110002378268485,0.006742141725502241
split_24-26.csv,4752,CNS-S-GD,1,0.75,5.0,0.25,7.5,-0.14108934662625908,180.30195467599998,15,1238,-0.1411936609138652,-0.1411351778033854,0.007015634102828417
split_24-26.csv,4752,CNS-S-GD,1,1.5,1.0,0.75,2.5,-0.1410614439734816,180.14801906325,15,1838,-0.14112875519808918,-0.1410878563833928,0.0064509491398900025
split_24-26.csv,4752,CNS-S-GD,1,0.75,1.0e-6,0.25,7.5,-0.14111978241802495,180.34546930675,16,1042,-0.14136622384694597,-0.14125116421164965,0.006737534407072051
split_24-26.csv,4752,CNS-S-GD,1,1.0,2.5,0.5,2.5,-0.14107498286989148,137.661136671,16,1537,-0.14120178331542793,-0.14113997839616366,0.006838412034394427
split_24-26.csv,4752,CNS-S-GD,1,2.5,1.0e-6,1.5,1.0,-0.1408974976658542,180.28948961275,16,2096,-0.14112407317708214,-0.14101442976718492,0.006853075511064348
split_24-26.csv,4752,CNS-S-GD,1,0.25,10.0,1.5,7.5,-0.14109417731812357,180.2511483955,16,678,-0.14117707985737052,-0.14113288774990862,0.0069607916141011675
