fn,pid,host,thread,λsl1,λsl2,λtl1,λtl2,cv_logll,time,alpha,gen,paramid,prev_pred,prev_sd,final_pred,final_sd
split_8-12.csv,3212,CNS-S-GD,1,0.25,0.5,2.5,1.0,-0.1452658878252607,146.96963700549998,3.0832945454020715,1,430,-Inf,0.0,-0.14524562465370486,4.3817049797853454e-5
split_8-12.csv,3212,CNS-S-GD,1,0.25,2.5,0.75,0.5,-0.14524430364797541,178.51472759975002,4.7733083566578,1,513,-Inf,0.0,-0.14524259572424247,4.346811904569264e-5
split_8-12.csv,3212,CNS-S-GD,2,0.01,1.0,5.0,0.01,-0.14537063650884835,240.46833341725,5.0,1,141,-Inf,0.0,-0.14527394413023995,4.462363345359138e-5
split_8-12.csv,3212,CNS-S-GD,2,5.0,2.5,0.5,10.0,-0.14513003520571258,83.15070135650001,1.0964969644301923,1,2225,-Inf,0.0,-0.14519677615887938,4.2450278998459706e-5
split_8-12.csv,3212,CNS-S-GD,1,0.01,2.5,0.01,2.5,-0.14542450533473733,110.14206833425,1.2719495127209857,2,151,-0.14525271579671015,5.0009999000199854e-5,-0.14527620119476897,4.4718203652472606e-5
split_8-12.csv,3212,CNS-S-GD,1,0.01,10.0,1.25,0.5,-0.14524469288003014,240.42251102875,5.0,2,275,-0.14525271292280562,5.000998117169808e-5,-0.14524298720950718,4.471402096699113e-5
split_8-12.csv,3212,CNS-S-GD,2,2.5,0.01,0.25,10.0,-0.1451465888421496,240.35955540375,2.850937015267739,2,1728,-0.14525271579375576,5.0009999000199704e-5,-0.1452105062290346,4.3309559693929056e-5
split_8-12.csv,3212,CNS-S-GD,2,0.01,1.0,0.01,0.01,-0.14630916531710583,128.75214054674998,0.5,2,99,-0.14525271579704582,5.000999900019995e-5,-0.14545322023534643,4.47218066789808e-5
split_8-12.csv,3212,CNS-S-GD,1,1.25,0.5,0.75,0.5,-0.14515933616451326,96.02537872674999,2.058503509443513,3,1444,-0.14538717686017574,4.9928994840649097e-5,-0.14521807244763912,4.4346175901318866e-5
split_8-12.csv,3212,CNS-S-GD,1,2.5,2.5,1.25,0.5,-0.14513045706138047,81.97471524475,1.6110413923666966,3,1892,-0.14538958111773195,4.999007355322791e-5,-0.14520371950187452,4.365601727956022e-5
split_8-12.csv,3212,CNS-S-GD,2,2.5,20.0,1.25,0.01,-0.14513050348523457,121.86467045075,2.8882317476291317,3,2038,-0.14539197684692357,5.000999900014257e-5,-0.14519864468329935,4.153995944306973e-5
split_8-12.csv,3212,CNS-S-GD,2,0.75,0.5,0.01,0.01,-0.14524677263512106,200.57857254049998,1.9668994825020245,3,1079,-0.14539198986756774,5.0009998975389445e-5,-0.1452407606468875,4.4721806302411334e-5
split_8-12.csv,3212,CNS-S-GD,1,0.75,0.5,0.75,0.01,-0.14520665667973942,112.1576092315,2.2087634293578384,4,1100,-0.14531687295136494,5.0009996949362855e-5,-0.14522390501821872,4.3195847486265575e-5
split_8-12.csv,3212,CNS-S-GD,1,2.5,0.5,5.0,0.5,-0.14512990755196364,111.2678818565,1.7388476854758514,4,1808,-0.1453088217839377,4.986701556402983e-5,-0.14521304458866766,4.4596314705744806e-5
