λsl1,λsl2,λtl1,λtl2,pred,band
10.0,100.0,10.0,100.0,-0.0013228621760580663,9.903436115313442e-6
10.0,100.0,10.0,0.0001,-0.0012623281873202262,9.903436115313442e-6
10.0,100.0,0.0001,100.0,-0.0014700194121470642,9.903436115313442e-6
10.0,100.0,0.0001,0.0001,-0.001504194750008678,9.903436115313442e-6
10.0,0.0001,10.0,100.0,-0.0011711373710870522,9.903436115313442e-6
10.0,0.0001,10.0,0.0001,-0.0011925844673258178,9.903436115313442e-6
10.0,0.0001,0.0001,100.0,-0.0013122236915296777,9.903436115313442e-6
10.0,0.0001,0.0001,0.0001,-0.0012981771842819306,9.903436115297384e-6
0.0001,100.0,10.0,100.0,-0.0013988415606051578,9.903436115313442e-6
0.0001,100.0,10.0,0.0001,-0.001274535281012486,9.903436115313442e-6
0.0001,100.0,0.0001,100.0,-0.0013294068100023694,9.90343611531342e-6
0.0001,100.0,0.0001,0.0001,-0.0012448703067492856,9.90343611531342e-6
0.0001,0.0001,10.0,100.0,-0.0010429772466214841,9.903436115313442e-6
0.0001,0.0001,10.0,0.0001,-0.004583340800836066,9.903436108085638e-6
0.0001,0.0001,0.0001,100.0,-0.0012422119756900362,9.90343611531342e-6
0.0001,0.0001,0.0001,0.0001,-0.01616024631864648,5.410595918728515e-6
0.006431017220637031,0.0001085918583969836,0.00015260322673323908,0.004814936137272307,-0.01615798887119462,5.410953994952159e-6
0.003312893099615662,44.05451418751943,0.00022114897428690482,0.00011263950599167448,0.052071283765198144,9.903436116067835e-6
0.0034002618711808114,0.0005560102441049489,0.00021439741085033359,0.00023248843860825815,-0.01614669730050749,5.4095974205363466e-6
0.00035596942368548446,0.0009775670705919949,0.4093582677731072,0.00011684484968624557,0.03950968481512058,7.393005185073836e-6
