slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
0.001,0.001,0.001,0.001,-0.05309182762792033,9.999468757307764e-6,true
0.001,0.001,0.001,0.5,-0.05272579885421719,9.660114288622406e-5,false
0.001,0.001,0.001,1.0,-0.053054325352410545,9.134467695064635e-5,false
0.001,0.001,0.001,2.5,-0.053591719718212076,7.63221228439692e-5,false
0.001,0.001,0.001,5.0,-0.05398696169434995,5.706846397422882e-5,false
0.001,0.001,0.001,10.0,-0.05427434778580546,3.1725111024992665e-5,false
0.001,0.001,0.001,20.0,-0.05437941672738304,9.999470940619667e-6,true
0.001,0.001,0.25,0.001,-0.052524813271444794,9.116981872240302e-5,false
0.001,0.001,0.25,0.5,-0.052251523511962404,9.938945542518673e-5,false
0.001,0.001,0.25,1.0,-0.05231214064460604,9.854435849413082e-5,false
0.001,0.001,0.25,2.5,-0.052413459611081285,9.635468928581834e-5,false
0.001,0.001,0.25,5.0,-0.05248824360767134,9.406317525074421e-5,false
0.001,0.001,0.25,10.0,-0.05254234514010052,9.200441678654551e-5,false
0.001,0.001,0.25,20.0,-0.05256137265972415,9.116081066802343e-5,false
0.001,0.001,0.5,0.001,-0.05265677876145971,8.094202979283919e-5,false
0.001,0.001,0.5,0.5,-0.052275111943034025,9.879932251558154e-5,false
0.001,0.001,0.5,1.0,-0.0523470081429925,9.704600599390485e-5,false
0.001,0.001,0.5,2.5,-0.05246832673167862,9.242653171129886e-5,false
0.001,0.001,0.5,5.0,-0.052558221991066995,8.74611387914754e-5,false
0.001,0.001,0.5,10.0,-0.05262346166266256,8.286283986143672e-5,false
0.001,0.001,0.5,20.0,-0.052646716553186,8.093558685329148e-5,false
0.001,0.001,0.75,0.001,-0.05274353627440723,7.188679194582836e-5,false
0.001,0.001,0.75,0.5,-0.05229335112132891,9.83362779249623e-5,false
0.001,0.001,0.75,1.0,-0.05237449322201431,9.585419722990828e-5,false
0.001,0.001,0.75,2.5,-0.052511918248514894,8.921802470898597e-5,false
0.001,0.001,0.75,5.0,-0.05261392443581165,8.189805037265332e-5,false
0.001,0.001,0.75,10.0,-0.05268808239453601,7.489615019286644e-5,false
0.001,0.001,0.75,20.0,-0.052714730022115186,7.188209773929348e-5,false
0.001,0.001,1.25,0.001,-0.05284811580337353,5.7035865653747386e-5,false
