slambdasl1,slambdasl2,tlambdasl1,tlambdasl2,pred,band,tested
1.0e-6,1.0e-6,1.0e-6,1.0e-6,-0.1378594943866063,0.008807007232277444,false
1.0e-6,1.0e-6,1.0e-6,0.5,-0.13815869049908838,0.008445086679032342,false
1.0e-6,1.0e-6,1.0e-6,1.0,-0.13788846114267958,0.008767505585105645,false
1.0e-6,1.0e-6,1.0e-6,2.5,-0.13605590838519588,0.00940220123471932,false
1.0e-6,1.0e-6,1.0e-6,5.0,-0.13583132308699167,0.00950189375869973,false
1.0e-6,1.0e-6,1.0e-6,7.5,-0.13589850200010145,0.008933811694681775,false
1.0e-6,1.0e-6,1.0e-6,10.0,-0.13580626863875556,0.008529664176120623,false
1.0e-6,1.0e-6,0.25,1.0e-6,-0.13819843893401088,0.008308786665012191,false
1.0e-6,1.0e-6,0.25,0.5,-0.13855631116125158,0.0077944566195625245,false
1.0e-6,1.0e-6,0.25,1.0,-0.13824673413444546,0.008283694642499189,false
1.0e-6,1.0e-6,0.25,2.5,-0.13610178198263348,0.009267286504025867,false
1.0e-6,1.0e-6,0.25,5.0,-0.1358401106045171,0.009302538765563645,false
1.0e-6,1.0e-6,0.25,7.5,-0.13591228054017732,0.008863443839346676,false
1.0e-6,1.0e-6,0.25,10.0,-0.13581427762399784,0.008333834418780956,false
1.0e-6,1.0e-6,0.5,1.0e-6,-0.13843395466236816,0.007865120368398466,false
1.0e-6,1.0e-6,0.5,0.5,-0.13883875469725787,0.007228545372295933,false
1.0e-6,1.0e-6,0.5,1.0,-0.13850516216032982,0.007887483207039388,false
1.0e-6,1.0e-6,0.5,2.5,-0.13613507887805207,0.009200875343518732,false
1.0e-6,1.0e-6,0.5,5.0,-0.13584792055309508,0.009102979865186373,false
1.0e-6,1.0e-6,0.5,7.5,-0.13594218835388117,0.00883487137190299,false
1.0e-6,1.0e-6,0.5,10.0,-0.13582357755468824,0.008340289841271158,false
1.0e-6,1.0e-6,0.75,1.0e-6,-0.13853508819788043,0.007593600283250018,false
1.0e-6,1.0e-6,0.75,0.5,-0.13896918062935323,0.0069207357930452665,true
1.0e-6,1.0e-6,0.75,1.0,-0.13863000361033703,0.0076989239718409175,false
1.0e-6,1.0e-6,0.75,2.5,-0.13615004359273264,0.009208010922381422,false
1.0e-6,1.0e-6,0.75,5.0,-0.13585253375490472,0.008934832652941635,false
1.0e-6,1.0e-6,0.75,7.5,-0.1359973264000455,0.008815375267570095,false
1.0e-6,1.0e-6,0.75,10.0,-0.13583315349790878,0.008547256762903282,false
1.0e-6,1.0e-6,1.0,1.0e-6,-0.13849713466708488,0.007540932473328724,false
1.0e-6,1.0e-6,1.0,0.5,-0.13893993486513212,0.006931402101757786,false
1.0e-6,1.0e-6,1.0,1.0,-0.1386127859281354,0.0077427764080575875,false
1.0e-6,1.0e-6,1.0,2.5,-0.13614407163722744,0.00924851073837327,false
1.0e-6,1.0e-6,1.0,5.0,-0.1358520039244879,0.008810456083387042,false
1.0e-6,1.0e-6,1.0,7.5,-0.1360840862947219,0.008766769290496735,false
1.0e-6,1.0e-6,1.0,10.0,-0.13584214111754006,0.008878136405211496,false
1.0e-6,1.0e-6,1.5,1.0e-6,-0.13811064345501672,0.007754057054521289,false
1.0e-6,1.0e-6,1.5,0.5,-0.13851448259225604,0.007321251735367228,false
1.0e-6,1.0e-6,1.5,1.0,-0.13824440721510853,0.008048541994980209,false
1.0e-6,1.0e-6,1.5,2.5,-0.13607811417169707,0.009157338711369652,false
1.0e-6,1.0e-6,1.5,5.0,-0.13583287323940624,0.008562416924869446,false
1.0e-6,1.0e-6,1.5,7.5,-0.13634540889737698,0.008396911388453127,false
1.0e-6,1.0e-6,1.5,10.0,-0.1358563800789155,0.009530754395283107,false
1.0e-6,1.0e-6,2.5,1.0e-6,-0.1371362692861325,0.007669482364851545,false
1.0e-6,1.0e-6,2.5,0.5,-0.1373668779942716,0.0069591189319703605,true
1.0e-6,1.0e-6,2.5,1.0,-0.13720096456929104,0.007635055632755674,false
1.0e-6,1.0e-6,2.5,2.5,-0.135899473024388,0.00831442013646716,false
1.0e-6,1.0e-6,2.5,5.0,-0.13577148902377087,0.007762808109826666,false
1.0e-6,1.0e-6,2.5,7.5,-0.13677080955095136,0.006966380102108523,true
1.0e-6,1.0e-6,2.5,10.0,-0.1358644318256616,0.009975078902511422,false
1.0e-6,0.5,1.0e-6,1.0e-6,-0.13753635536824402,0.009024786867291345,false
